
Date[2015-10-05 10:46:55,120] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:46:55,120] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 2258 milli seconds

Date[2015-10-05 10:47:19,741] ThreadID[15] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:47:19,778] ThreadID[15] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:47:19,778] ThreadID[15] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 37 milli seconds

Date[2015-10-05 10:47:29,763] ThreadID[10] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:47:34,725] ThreadID[10] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:47:34,725] ThreadID[10] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 4960 milli seconds

Date[2015-10-05 10:47:50,023] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:47:50,023] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:47:50,023] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 10:48:06,082] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:48:09,214] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:48:09,214] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 3124 milli seconds

Date[2015-10-05 10:48:39,302] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:48:39,302] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:48:39,302] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 10:49:15,319] ThreadID[16] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:49:21,203] ThreadID[16] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:49:21,203] ThreadID[16] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 5884 milli seconds

Date[2015-10-05 10:49:43,103] ThreadID[19] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:49:43,415] ThreadID[19] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:49:43,415] ThreadID[19] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 335 milli seconds

Date[2015-10-05 10:50:01,054] ThreadID[25] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:50:01,054] ThreadID[25] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:50:01,054] ThreadID[25] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 10:50:21,082] ThreadID[19] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:50:21,431] ThreadID[19] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:50:21,431] ThreadID[19] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 363 milli seconds

Date[2015-10-05 10:53:57,791] ThreadID[47] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

